wals code,name,value,description,latitude,longitude,genus,family,area
cah,Cahuilla,5,5 cases,33.5,-116.25,Northern Uto-Aztecan,Uto-Aztecan,Nominal Categories
cnl,Canela,1,No morphological case-marking,-7,-45,Je Setentrional,Macro-Ge,Nominal Categories
car,Carib,1,No morphological case-marking,5.5,-56,Cariban,Cariban,Nominal Categories
ctl,Catalan,1,No morphological case-marking,41.75,2,Romance,Indo-European,Nominal Categories
cyv,Cayuvava,9,Exclusively borderline case-marking,-13.5,-65.5,Cayuvava,Cayuvava,Nominal Categories
cha,Chamorro,1,No morphological case-marking,13.45,144.75,Chamorro,Austronesian,Nominal Categories
cle,Chinantec (Lealao),1,No morphological case-marking,17.33333333,-95.91666667,Chinantecan,Oto-Manguean,Nominal Categories
chk,Chukchi,8,10 or more cases,67,-173,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Nominal Categories
cba,Chumash (Barbareño),1,No morphological case-marking,34.5,-120.25,Chumash,Chumash,Nominal Categories
chv,Chuvash,6,6-7 cases,55.5,47.5,Turkic,Altaic,Nominal Categories
cmn,Comanche,3,3 cases,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan,Nominal Categories
coo,Coos (Hanis),7,8-9 cases,43.5,-124.1666667,Coosan,Oregon Coast,Nominal Categories
cre,Cree (Plains),9,Exclusively borderline case-marking,54,-110,Algonquian,Algic,Nominal Categories
dag,Daga,9,Exclusively borderline case-marking,-10,149.3333333,Dagan,Trans-New Guinea,Nominal Categories
dni,Dani (Lower Grand Valley),6,6-7 cases,-4.333333333,138.8333333,Dani,Trans-New Guinea,Nominal Categories
dio,Diola-Fogny,1,No morphological case-marking,13,-16.25,Jola,Niger-Congo,Nominal Categories
don,Dong (Southern),1,No morphological case-marking,27,109,Kam-Tai,Tai-Kadai,Nominal Categories
dre,Drehu,1,No morphological case-marking,-21,167.25,Oceanic,Austronesian,Nominal Categories
dut,Dutch,1,No morphological case-marking,52.5,6,Germanic,Indo-European,Nominal Categories
dyi,Dyirbal,6,6-7 cases,-17.83333333,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,Nominal Categories
eka,Ekari,9,Exclusively borderline case-marking,-3.833333333,135.5,Paniai Lakes,Trans-New Guinea,Nominal Categories
eng,English,2,2 cases,52,0,Germanic,Indo-European,Nominal Categories
epe,Epena Pedee,8,10 or more cases,3,-77,Choco,Choco,Nominal Categories
est,Estonian,8,10 or more cases,59,26,Finnic,Uralic,Nominal Categories
eve,Evenki,8,10 or more cases,56,125,Tungusic,Altaic,Nominal Categories
ewe,Ewe,1,No morphological case-marking,6.333333333,0.4166666667,Gbe,Niger-Congo,Nominal Categories
fij,Fijian,1,No morphological case-marking,-17.83333333,178,Oceanic,Austronesian,Nominal Categories
